feature,importance
active_sellers,4781
product_category,3169
week_of_year,3104
freight_ratio,3101
price_momentum,3011
sales_lag_1,2268
sales_roll_mean_4,2064
sales_lag_4,1919
sales_lag_2,1801
sales_lag_12,1789
sales_lag_8,1749
sales_lag_3,1622
month_cos,834
month_sin,647
weeks_to_bf,500
month,240
year,233
