feature,importance
week_of_year,631
sales_lag_1,449
sales_roll_std_4,342
sales_lag_8,340
sales_roll_mean_4,314
sales_lag_4,253
product_category,207
sales_lag_2,206
sales_lag_3,194
year,27
month,7
